"URL","Page Type","Primary Keyword","Secondary Keywords","Intent","Rendered Words","Content Status"
"/accessories/best-accessories","L3 Article","RE:Heads, Please! best accessories","RE Heads Please best accessories | best accessories in RE Heads Please","informational","580","300-800 words"
"/accessories/black-rose","Accessory Detail","RE Heads Please Black Rose accessory","Black Rose accessory","entity lookup","408","300-800 words"
"/accessories/common-accessories","L3 Article","RE:Heads, Please! common accessories","RE Heads Please common accessories | common accessories in RE Heads Please","informational","580","300-800 words"
"/accessories/complete-accessories-list","L3 Article","RE:Heads, Please! complete accessories list","RE Heads Please complete accessories list | complete accessories list in RE Heads Please","informational","1240","800+ words"
"/accessories/cosmetic-accessories","L3 Article","RE:Heads, Please! cosmetic accessories","RE Heads Please cosmetic accessories | cosmetic accessories in RE Heads Please","informational","585","300-800 words"
"/accessories/deep-web","Accessory Detail","RE Heads Please Deep Web accessory","Deep Web accessory","entity lookup","408","300-800 words"
"/accessories/duplicate-accessories","L3 Article","RE:Heads, Please! duplicate accessories","RE Heads Please duplicate accessories | duplicate accessories in RE Heads Please","informational","584","300-800 words"
"/accessories/event-accessories","L3 Article","RE:Heads, Please! event accessories","RE Heads Please event accessories | event accessories in RE Heads Please","informational","583","300-800 words"
"/accessories/hacker","Accessory Detail","RE Heads Please Hacker accessory","Hacker accessory","entity lookup","398","300-800 words"
"/accessories/how-to-equip-accessories","L3 Article","RE:Heads, Please! how to equip accessories","RE Heads Please how to equip accessories | how to equip accessories in RE Heads Please","informational","605","300-800 words"
"/accessories/how-to-farm-accessory-tickets","L3 Article","RE:Heads, Please! how to farm accessory tickets","RE Heads Please how to farm accessory tickets | how to farm accessory tickets in RE Heads Please","informational","629","300-800 words"
"/accessories/how-to-get-accessories","L3 Article","RE:Heads, Please! how to get accessories","RE Heads Please how to get accessories | how to get accessories in RE Heads Please","informational","1247","800+ words"
"/accessories/how-to-roll-accessories","L3 Article","RE:Heads, Please! how to roll accessories","RE Heads Please how to roll accessories | how to roll accessories in RE Heads Please","informational","1241","800+ words"
"/accessories/how-to-spend-accessory-tickets","L3 Article","RE:Heads, Please! how to spend accessory tickets","RE Heads Please how to spend accessory tickets | how to spend accessory tickets in RE Heads Please","informational","621","300-800 words"
"/accessories/limited-accessories","L3 Article","RE:Heads, Please! limited accessories","RE Heads Please limited accessories | limited accessories in RE Heads Please","informational","589","300-800 words"
"/accessories/new-accessories","L3 Article","RE:Heads, Please! new accessories","RE Heads Please new accessories | new accessories in RE Heads Please","informational","585","300-800 words"
"/accessories/rare-accessories","L3 Article","RE:Heads, Please! rare accessories","RE Heads Please rare accessories | rare accessories in RE Heads Please","informational","577","300-800 words"
"/accessories/seraphim","Accessory Detail","RE Heads Please Seraphim accessory","Seraphim accessory","entity lookup","397","300-800 words"
"/accessories/sleepingbeauty","Accessory Detail","RE Heads Please Sleepingbeauty accessory","Sleepingbeauty accessory","entity lookup","397","300-800 words"
"/accessories/void","Accessory Detail","RE Heads Please Void accessory","Void accessory","entity lookup","397","300-800 words"
"/codes","L2 Hub","RE:Heads, Please! codes","","navigational","1223","800+ words"
"/codes/accessory-ticket-codes","L3 Article","RE:Heads, Please! codes for accessory tickets","RE Heads Please codes for accessory tickets | codes for accessory tickets in RE Heads Please","informational","665","300-800 words"
"/codes/already-redeemed-code","L3 Article","RE:Heads, Please! already redeemed code","RE Heads Please already redeemed code | already redeemed code in RE Heads Please","informational","645","300-800 words"
"/codes/beginner-code-rewards","L3 Article","RE:Heads, Please! codes for beginners","RE Heads Please codes for beginners | codes for beginners in RE Heads Please","informational","649","300-800 words"
"/codes/boost-item-codes","L3 Article","RE:Heads, Please! codes for boost items","RE Heads Please codes for boost items | codes for boost items in RE Heads Please","informational","656","300-800 words"
"/codes/case-sensitive-codes","L3 Article","RE:Heads, Please! case-sensitive codes","RE Heads Please case-sensitive codes | case-sensitive codes in RE Heads Please","informational","644","300-800 words"
"/codes/code-expiration","L3 Article","RE:Heads, Please! code expiration","RE Heads Please code expiration | code expiration in RE Heads Please","informational","630","300-800 words"
"/codes/code-history","L3 Article","RE:Heads, Please! code history","RE Heads Please code history | code history in RE Heads Please","informational","625","300-800 words"
"/codes/code-release-guide","L3 Article","RE:Heads, Please! code release guide","RE Heads Please code release guide | code release guide in RE Heads Please","informational","649","300-800 words"
"/codes/code-rewards","L3 Article","RE:Heads, Please! code rewards","RE Heads Please code rewards | code rewards in RE Heads Please","informational","850","800+ words"
"/codes/code-status","L3 Article","RE:Heads, Please! code status","RE Heads Please code status | code status in RE Heads Please","informational","632","300-800 words"
"/codes/code-troubleshooting","L3 Article","RE:Heads, Please! code troubleshooting","RE Heads Please code troubleshooting | code troubleshooting in RE Heads Please","informational","634","300-800 words"
"/codes/code-verification","L3 Article","RE:Heads, Please! code verification","RE Heads Please code verification | code verification in RE Heads Please","informational","628","300-800 words"
"/codes/codes-after-update","L3 Article","RE:Heads, Please! codes after an update","RE Heads Please codes after an update | codes after an update in RE Heads Please","informational","656","300-800 words"
"/codes/codes-faq","L3 Article","RE:Heads, Please! codes FAQ","RE Heads Please codes FAQ | codes FAQ in RE Heads Please","informational","629","300-800 words"
"/codes/codes-not-working","L3 Article","RE:Heads, Please! codes not working","RE Heads Please codes not working | codes not working in RE Heads Please","informational","1233","800+ words"
"/codes/codes-with-free-items","L3 Article","RE:Heads, Please! codes with free items","RE Heads Please codes with free items | codes with free items in RE Heads Please","informational","656","300-800 words"
"/codes/enchant-book-codes","L3 Article","RE:Heads, Please! codes for enchant books","RE Heads Please codes for enchant books | codes for enchant books in RE Heads Please","informational","660","300-800 words"
"/codes/event-codes","L3 Article","RE:Heads, Please! event codes","RE Heads Please event codes | event codes in RE Heads Please","informational","633","300-800 words"
"/codes/expired-codes","L3 Article","RE:Heads, Please! expired codes","RE Heads Please expired codes | expired codes in RE Heads Please","informational","1231","800+ words"
"/codes/how-to-redeem-codes","L3 Article","RE:Heads, Please! how to redeem codes","RE Heads Please how to redeem codes | how to redeem codes in RE Heads Please","informational","1230","800+ words"
"/codes/invalid-code-error","L3 Article","RE:Heads, Please! invalid code error","RE Heads Please invalid code error | invalid code error in RE Heads Please","informational","646","300-800 words"
"/codes/mobile-code-redemption","L3 Article","RE:Heads, Please! code redemption on mobile","RE Heads Please code redemption on mobile | code redemption on mobile in RE Heads Please","informational","1233","800+ words"
"/codes/new-codes","L3 Article","RE:Heads, Please! new codes","RE Heads Please new codes | new codes in RE Heads Please","informational","1224","800+ words"
"/codes/pc-code-redemption","L3 Article","RE:Heads, Please! code redemption on PC","RE Heads Please code redemption on PC | code redemption on PC in RE Heads Please","informational","1230","800+ words"
"/codes/update-codes","L3 Article","RE:Heads, Please! update codes","RE Heads Please update codes | update codes in RE Heads Please","informational","631","300-800 words"
"/codes/where-to-enter-codes","L3 Article","RE:Heads, Please! where to enter codes","RE Heads Please where to enter codes | where to enter codes in RE Heads Please","informational","1226","800+ words"
"/codes/working-codes","L3 Article","RE:Heads, Please! working codes","RE Heads Please working codes | working codes in RE Heads Please","informational","1222","800+ words"
"/codes/xbox-code-redemption","L3 Article","RE:Heads, Please! code redemption on Xbox","RE Heads Please code redemption on Xbox | code redemption on Xbox in RE Heads Please","informational","654","300-800 words"
"/coins","L2 Hub","RE:Heads, Please! coins","","navigational","1333","800+ words"
"/coins/calendar-coin","Coin Detail","RE Heads Please Calendar Coin","Calendar Coin","entity lookup","371","300-800 words"
"/coins/clover-coin","Coin Detail","RE Heads Please Clover Coin","Clover Coin","entity lookup","391","300-800 words"
"/coins/coin-comparison","L3 Article","RE:Heads, Please! coin comparison","RE Heads Please coin comparison | coin comparison in RE Heads Please","informational","1232","800+ words"
"/coins/coin-enchantments","L3 Article","RE:Heads, Please! coin enchantments","RE Heads Please coin enchantments | coin enchantments in RE Heads Please","informational","585","300-800 words"
"/coins/coin-farming","L3 Article","RE:Heads, Please! coin farming","RE Heads Please coin farming | coin farming in RE Heads Please","informational","584","300-800 words"
"/coins/coin-flip-guide","L3 Article","RE:Heads, Please! coin flip guide","RE Heads Please coin flip guide | coin flip guide in RE Heads Please","informational","1225","800+ words"
"/coins/coin-fountain","L3 Article","RE:Heads, Please! coin fountain","RE Heads Please coin fountain | coin fountain in RE Heads Please","informational","1220","800+ words"
"/coins/coin-inventory","L3 Article","RE:Heads, Please! coin inventory","RE Heads Please coin inventory | coin inventory in RE Heads Please","informational","591","300-800 words"
"/coins/coin-luck","L3 Article","RE:Heads, Please! coin roll luck","RE Heads Please coin roll luck | coin roll luck in RE Heads Please","informational","600","300-800 words"
"/coins/coin-price","L3 Article","RE:Heads, Please! coin price","RE Heads Please coin price | coin price in RE Heads Please","informational","593","300-800 words"
"/coins/coin-profit","L3 Article","RE:Heads, Please! coin profit","RE Heads Please coin profit | coin profit in RE Heads Please","informational","590","300-800 words"
"/coins/coin-rarity","L3 Article","RE:Heads, Please! coin rarity","RE Heads Please coin rarity | coin rarity in RE Heads Please","informational","1233","800+ words"
"/coins/coin-updates","L3 Article","RE:Heads, Please! coin updates","RE Heads Please coin updates | coin updates in RE Heads Please","informational","584","300-800 words"
"/coins/coin-values","L3 Article","RE:Heads, Please! coin values","RE Heads Please coin values | coin values in RE Heads Please","informational","1225","800+ words"
"/coins/coins-faq","L3 Article","RE:Heads, Please! coins FAQ","RE Heads Please coins FAQ | coins FAQ in RE Heads Please","informational","586","300-800 words"
"/coins/complete-coin-list","L3 Article","RE:Heads, Please! complete coin list","RE Heads Please complete coin list | complete coin list in RE Heads Please","informational","1232","800+ words"
"/coins/dalgona-coin","Coin Detail","RE Heads Please Dalgona Coin","Dalgona Coin","entity lookup","377","300-800 words"
"/coins/early-game-coins","L3 Article","RE:Heads, Please! early game coins","RE Heads Please early game coins | early game coins in RE Heads Please","informational","601","300-800 words"
"/coins/event-coins","L3 Article","RE:Heads, Please! event coins","RE Heads Please event coins | event coins in RE Heads Please","informational","586","300-800 words"
"/coins/friendship-coin","Coin Detail","RE Heads Please Friendship Coin","Friendship Coin","entity lookup","392","300-800 words"
"/coins/graph-coin","Coin Detail","RE Heads Please Graph Coin","Graph Coin","entity lookup","376","300-800 words"
"/coins/how-to-enchant-coins","L3 Article","RE:Heads, Please! how to enchant coins","RE Heads Please how to enchant coins | how to enchant coins in RE Heads Please","informational","617","300-800 words"
"/coins/how-to-equip-coins","L3 Article","RE:Heads, Please! how to equip coins","RE Heads Please how to equip coins | how to equip coins in RE Heads Please","informational","621","300-800 words"
"/coins/how-to-get-coins","L3 Article","RE:Heads, Please! how to get coins","RE Heads Please how to get coins | how to get coins in RE Heads Please","informational","1238","800+ words"
"/coins/how-to-roll-coins","L3 Article","RE:Heads, Please! how to roll coins","RE Heads Please how to roll coins | how to roll coins in RE Heads Please","informational","1233","800+ words"
"/coins/how-to-switch-coins","L3 Article","RE:Heads, Please! how to switch coins","RE Heads Please how to switch coins | how to switch coins in RE Heads Please","informational","611","300-800 words"
"/coins/late-game-coins","L3 Article","RE:Heads, Please! late game coins","RE Heads Please late game coins | late game coins in RE Heads Please","informational","595","300-800 words"
"/coins/limited-coins","L3 Article","RE:Heads, Please! limited coins","RE Heads Please limited coins | limited coins in RE Heads Please","informational","586","300-800 words"
"/coins/lock-coin","Coin Detail","RE Heads Please Lock Coin","Lock Coin","entity lookup","371","300-800 words"
"/coins/mid-game-coins","L3 Article","RE:Heads, Please! mid game coins","RE Heads Please mid game coins | mid game coins in RE Heads Please","informational","596","300-800 words"
"/coins/new-coins","L3 Article","RE:Heads, Please! new coins","RE Heads Please new coins | new coins in RE Heads Please","informational","587","300-800 words"
"/coins/plush-toy-coin","Coin Detail","RE Heads Please Plush Toy Coin","Plush Toy Coin","entity lookup","386","300-800 words"
"/coins/rare-coins","L3 Article","RE:Heads, Please! rare coins","RE Heads Please rare coins | rare coins in RE Heads Please","informational","585","300-800 words"
"/coins/rhythm-coin","Coin Detail","RE Heads Please Rhythm Coin","Rhythm Coin","entity lookup","369","300-800 words"
"/coins/secret-coins","L3 Article","RE:Heads, Please! secret coins","RE Heads Please secret coins | secret coins in RE Heads Please","informational","585","300-800 words"
"/coins/slime-coin","Coin Detail","RE Heads Please Slime Coin","Slime Coin","entity lookup","377","300-800 words"
"/coins/starter-coin-guide","L3 Article","RE:Heads, Please! starter coin guide","RE Heads Please starter coin guide | starter coin guide in RE Heads Please","informational","604","300-800 words"
"/coins/zone-coin","Coin Detail","RE Heads Please Zone Coin","Zone Coin","entity lookup","370","300-800 words"
"/database","L2 Hub","RE:Heads, Please! database","","navigational","1352","800+ words"
"/database/accessories","Database Category","RE:Heads, Please! accessories database","","informational","371","300-800 words"
"/database/accessory-comparison","L3 Article","RE:Heads, Please! accessory comparison database","RE Heads Please accessory comparison database | accessory comparison database in RE Heads Please","informational","596","300-800 words"
"/database/accessory-database","L3 Article","RE:Heads, Please! accessory database","RE Heads Please accessory database | accessory database in RE Heads Please","informational","1223","800+ words"
"/database/acquisition-index","L3 Article","RE:Heads, Please! acquisition method index","RE Heads Please acquisition method index | acquisition method index in RE Heads Please","informational","1232","800+ words"
"/database/beginner-lookup","L3 Article","RE:Heads, Please! beginner database lookup","RE Heads Please beginner database lookup | beginner database lookup in RE Heads Please","informational","595","300-800 words"
"/database/code-rewards","L3 Article","RE:Heads, Please! code rewards database","RE Heads Please code rewards database | code rewards database in RE Heads Please","informational","591","300-800 words"
"/database/coin-comparison","L3 Article","RE:Heads, Please! coin comparison database","RE Heads Please coin comparison database | coin comparison database in RE Heads Please","informational","595","300-800 words"
"/database/coin-database","L3 Article","RE:Heads, Please! coin database","RE Heads Please coin database | coin database in RE Heads Please","informational","1222","800+ words"
"/database/coins","Database Category","RE:Heads, Please! coins database","","informational","524","300-800 words"
"/database/content-index","L3 Article","RE:Heads, Please! game content index","RE Heads Please game content index | game content index in RE Heads Please","informational","1231","800+ words"
"/database/data-accuracy","L3 Article","RE:Heads, Please! database accuracy policy","RE Heads Please database accuracy policy | database accuracy policy in RE Heads Please","informational","590","300-800 words"
"/database/database-changelog","L3 Article","RE:Heads, Please! database changelog","RE Heads Please database changelog | database changelog in RE Heads Please","informational","576","300-800 words"
"/database/database-faq","L3 Article","RE:Heads, Please! database FAQ","RE Heads Please database FAQ | database FAQ in RE Heads Please","informational","577","300-800 words"
"/database/event-content","L3 Article","RE:Heads, Please! event content database","RE Heads Please event content database | event content database in RE Heads Please","informational","589","300-800 words"
"/database/farming-lookup","L3 Article","RE:Heads, Please! farming database lookup","RE Heads Please farming database lookup | farming database lookup in RE Heads Please","informational","590","300-800 words"
"/database/glossary","L3 Article","RE:Heads, Please! game glossary","RE Heads Please game glossary | game glossary in RE Heads Please","informational","582","300-800 words"
"/database/item-comparison","L3 Article","RE:Heads, Please! item comparison database","RE Heads Please item comparison database | item comparison database in RE Heads Please","informational","590","300-800 words"
"/database/item-database","L3 Article","RE:Heads, Please! item database","RE Heads Please item database | item database in RE Heads Please","informational","1222","800+ words"
"/database/items","Database Category","RE:Heads, Please! items database","","informational","658","300-800 words"
"/database/limited-content","L3 Article","RE:Heads, Please! limited content database","RE Heads Please limited content database | limited content database in RE Heads Please","informational","590","300-800 words"
"/database/location-index","L3 Article","RE:Heads, Please! location index","RE Heads Please location index | location index in RE Heads Please","informational","1225","800+ words"
"/database/mechanics-index","L3 Article","RE:Heads, Please! game mechanics index","RE Heads Please game mechanics index | game mechanics index in RE Heads Please","informational","596","300-800 words"
"/database/new-entries","L3 Article","RE:Heads, Please! new database entries","RE Heads Please new database entries | new database entries in RE Heads Please","informational","592","300-800 words"
"/database/rarity-index","L3 Article","RE:Heads, Please! rarity index","RE Heads Please rarity index | rarity index in RE Heads Please","informational","1230","800+ words"
"/database/recently-updated","L3 Article","RE:Heads, Please! recently updated database entries","RE Heads Please recently updated database entries | recently updated database entries in RE Heads Please","informational","605","300-800 words"
"/database/rewards-index","L3 Article","RE:Heads, Please! rewards index","RE Heads Please rewards index | rewards index in RE Heads Please","informational","579","300-800 words"
"/database/source-index","L3 Article","RE:Heads, Please! acquisition source index","RE Heads Please acquisition source index | acquisition source index in RE Heads Please","informational","594","300-800 words"
"/database/tier-index","L3 Article","RE:Heads, Please! tier ranking index","RE Heads Please tier ranking index | tier ranking index in RE Heads Please","informational","593","300-800 words"
"/database/update-history","L3 Article","RE:Heads, Please! database update history","RE Heads Please database update history | database update history in RE Heads Please","informational","587","300-800 words"
"/database/value-list","L3 Article","RE:Heads, Please! value list","RE Heads Please value list | value list in RE Heads Please","informational","1739","800+ words"
"/database/verification-log","L3 Article","RE:Heads, Please! data verification log","RE Heads Please data verification log | data verification log in RE Heads Please","informational","590","300-800 words"
"/faq","Utility Page","RE:Heads, Please! FAQ","","informational","78","Thin under 300"
"/guides","L2 Hub","RE:Heads, Please! guides","","navigational","1194","800+ words"
"/guides/accessory-rolling-guide","L3 Article","RE:Heads, Please! accessory rolling guide","RE Heads Please accessory rolling guide | accessory rolling guide in RE Heads Please","informational","497","300-800 words"
"/guides/another-station","L3 Article","RE:Heads, Please! Another Station guide","RE Heads Please Another Station guide | Another Station guide in RE Heads Please","informational","496","300-800 words"
"/guides/beginner-guide","L3 Article","RE:Heads, Please! beginner guide","RE Heads Please beginner guide | beginner guide in RE Heads Please","informational","1340","800+ words"
"/guides/beginner-mistakes","L3 Article","RE:Heads, Please! beginner mistakes","RE Heads Please beginner mistakes | beginner mistakes in RE Heads Please","informational","483","300-800 words"
"/guides/boosts-guide","L3 Article","RE:Heads, Please! boosts guide","RE Heads Please boosts guide | boosts guide in RE Heads Please","informational","484","300-800 words"
"/guides/controls","L3 Article","RE:Heads, Please! controls guide","RE Heads Please controls guide | controls guide in RE Heads Please","informational","1214","800+ words"
"/guides/enchantment-guide","L3 Article","RE:Heads, Please! enchantment guide","RE Heads Please enchantment guide | enchantment guide in RE Heads Please","informational","475","300-800 words"
"/guides/event-preparation","L3 Article","RE:Heads, Please! event preparation guide","RE Heads Please event preparation guide | event preparation guide in RE Heads Please","informational","489","300-800 words"
"/guides/farming-guide","L3 Article","RE:Heads, Please! farming guide","RE Heads Please farming guide | farming guide in RE Heads Please","informational","141","Thin under 300"
"/guides/fountain-guide","L3 Article","RE:Heads, Please! fountain guide","RE Heads Please fountain guide | fountain guide in RE Heads Please","informational","481","300-800 words"
"/guides/game-mechanics","Static Page","Game Mechanics","","informational","119","Thin under 300"
"/guides/getting-started","L3 Article","RE:Heads, Please! getting started guide","RE Heads Please getting started guide | getting started guide in RE Heads Please","informational","1218","800+ words"
"/guides/how-to-earn-money","L3 Article","RE:Heads, Please! how to earn money","RE Heads Please how to earn money | how to earn money in RE Heads Please","informational","1241","800+ words"
"/guides/how-to-flip-coins","L3 Article","RE:Heads, Please! how to flip coins","RE Heads Please how to flip coins | how to flip coins in RE Heads Please","informational","1226","800+ words"
"/guides/how-to-get-accessories","L3 Article","RE:Heads, Please! guide to getting accessories","RE Heads Please guide to getting accessories | guide to getting accessories in RE Heads Please","informational","502","300-800 words"
"/guides/how-to-roll-better-coins","L3 Article","RE:Heads, Please! how to roll better coins","RE Heads Please how to roll better coins | how to roll better coins in RE Heads Please","informational","516","300-800 words"
"/guides/inventory-guide","L3 Article","RE:Heads, Please! inventory guide","RE Heads Please inventory guide | inventory guide in RE Heads Please","informational","480","300-800 words"
"/guides/map-exploration","L3 Article","RE:Heads, Please! map exploration guide","RE Heads Please map exploration guide | map exploration guide in RE Heads Please","informational","497","300-800 words"
"/guides/mobile-controls","L3 Article","RE:Heads, Please! mobile controls","RE Heads Please mobile controls | mobile controls in RE Heads Please","informational","1219","800+ words"
"/guides/pc-controls","L3 Article","RE:Heads, Please! PC controls","RE Heads Please PC controls | PC controls in RE Heads Please","informational","1215","800+ words"
"/guides/progression-guide","L3 Article","RE:Heads, Please! progression guide","RE Heads Please progression guide | progression guide in RE Heads Please","informational","94","Thin under 300"
"/guides/scroll-guide","L3 Article","RE:Heads, Please! scroll guide","RE Heads Please scroll guide | scroll guide in RE Heads Please","informational","485","300-800 words"
"/guides/skateboard-controls","L3 Article","RE:Heads, Please! skateboard controls","RE Heads Please skateboard controls | skateboard controls in RE Heads Please","informational","483","300-800 words"
"/guides/skateboard-guide","L3 Article","RE:Heads, Please! skateboard guide","RE Heads Please skateboard guide | skateboard guide in RE Heads Please","informational","485","300-800 words"
"/guides/station-travel","L3 Article","RE:Heads, Please! station travel guide","RE Heads Please station travel guide | station travel guide in RE Heads Please","informational","493","300-800 words"
"/guides/ticket-guide","L3 Article","RE:Heads, Please! ticket guide","RE Heads Please ticket guide | ticket guide in RE Heads Please","informational","479","300-800 words"
"/guides/tips-and-tricks","L3 Article","RE:Heads, Please! tips and tricks","RE Heads Please tips and tricks | tips and tricks in RE Heads Please","informational","84","Thin under 300"
"/guides/update-preparation","L3 Article","RE:Heads, Please! update preparation guide","RE Heads Please update preparation guide | update preparation guide in RE Heads Please","informational","496","300-800 words"
"/guides/xbox-controls","L3 Article","RE:Heads, Please! Xbox controls","RE Heads Please Xbox controls | Xbox controls in RE Heads Please","informational","1218","800+ words"
"/items","L2 Hub","RE:Heads, Please! items","","navigational","1298","800+ words"
"/items/accessory-ticket","Item Detail","RE Heads Please Accessory Ticket","Accessory Ticket","entity lookup","408","300-800 words"
"/items/accessory-tickets","L3 Article","RE:Heads, Please! accessory tickets","RE Heads Please accessory tickets | accessory tickets in RE Heads Please","informational","609","300-800 words"
"/items/best-beginner-items","L3 Article","RE:Heads, Please! best beginner items","RE Heads Please best beginner items | best beginner items in RE Heads Please","informational","623","300-800 words"
"/items/boardmarker-1","Item Detail","RE Heads Please Boardmarker 1","Boardmarker 1 location","entity lookup","374","300-800 words"
"/items/boardmarker-2","Item Detail","RE Heads Please Boardmarker 2","Boardmarker 2 location","entity lookup","374","300-800 words"
"/items/boardmarker-3","Item Detail","RE Heads Please Boardmarker 3","Boardmarker 3 location","entity lookup","374","300-800 words"
"/items/boardmarker-4","Item Detail","RE Heads Please Boardmarker 4","Boardmarker 4 location","entity lookup","374","300-800 words"
"/items/boardmarker-5","Item Detail","RE Heads Please Boardmarker 5","Boardmarker 5 location","entity lookup","374","300-800 words"
"/items/boost-items","L3 Article","RE:Heads, Please! boost items","RE Heads Please boost items | boost items in RE Heads Please","informational","1230","800+ words"
"/items/code-reward-items","L3 Article","RE:Heads, Please! code reward items","RE Heads Please code reward items | code reward items in RE Heads Please","informational","623","300-800 words"
"/items/complete-item-list","L3 Article","RE:Heads, Please! complete item list","RE Heads Please complete item list | complete item list in RE Heads Please","informational","1233","800+ words"
"/items/consumable-items","L3 Article","RE:Heads, Please! consumable items","RE Heads Please consumable items | consumable items in RE Heads Please","informational","1229","800+ words"
"/items/enchant-book","Item Detail","RE Heads Please Enchant Book","Enchant Book","entity lookup","408","300-800 words"
"/items/enchant-books","L3 Article","RE:Heads, Please! enchant books","RE Heads Please enchant books | enchant books in RE Heads Please","informational","1223","800+ words"
"/items/energy-boost-items","L3 Article","RE:Heads, Please! energy boost items","RE Heads Please energy boost items | energy boost items in RE Heads Please","informational","619","300-800 words"
"/items/engraving-scroll","Item Detail","RE Heads Please Engraving Scroll","Engraving Scroll","entity lookup","409","300-800 words"
"/items/engraving-scrolls","L3 Article","RE:Heads, Please! engraving scrolls","RE Heads Please engraving scrolls | engraving scrolls in RE Heads Please","informational","609","300-800 words"
"/items/event-items","L3 Article","RE:Heads, Please! event items","RE Heads Please event items | event items in RE Heads Please","informational","605","300-800 words"
"/items/how-to-get-items","L3 Article","RE:Heads, Please! how to get items","RE Heads Please how to get items | how to get items in RE Heads Please","informational","1235","800+ words"
"/items/how-to-use-items","L3 Article","RE:Heads, Please! how to use items","RE Heads Please how to use items | how to use items in RE Heads Please","informational","633","300-800 words"
"/items/inventory-guide","L3 Article","RE:Heads, Please! item inventory guide","RE Heads Please item inventory guide | item inventory guide in RE Heads Please","informational","1230","800+ words"
"/items/item-drops","L3 Article","RE:Heads, Please! item drops","RE Heads Please item drops | item drops in RE Heads Please","informational","608","300-800 words"
"/items/item-farming","L3 Article","RE:Heads, Please! item farming","RE Heads Please item farming | item farming in RE Heads Please","informational","601","300-800 words"
"/items/item-locations","L3 Article","RE:Heads, Please! item locations","RE Heads Please item locations | item locations in RE Heads Please","informational","610","300-800 words"
"/items/item-progression-guide","L3 Article","RE:Heads, Please! item progression guide","RE Heads Please item progression guide | item progression guide in RE Heads Please","informational","621","300-800 words"
"/items/item-rarity","L3 Article","RE:Heads, Please! item rarity","RE Heads Please item rarity | item rarity in RE Heads Please","informational","1232","800+ words"
"/items/item-rewards","L3 Article","RE:Heads, Please! item rewards","RE Heads Please item rewards | item rewards in RE Heads Please","informational","608","300-800 words"
"/items/item-tiers-explained","L3 Article","RE:Heads, Please! item tiers explained","RE Heads Please item tiers explained | item tiers explained in RE Heads Please","informational","617","300-800 words"
"/items/item-uses","L3 Article","RE:Heads, Please! item uses","RE Heads Please item uses | item uses in RE Heads Please","informational","609","300-800 words"
"/items/item-values","L3 Article","RE:Heads, Please! item values","RE Heads Please item values | item values in RE Heads Please","informational","1224","800+ words"
"/items/items-faq","L3 Article","RE:Heads, Please! items FAQ","RE Heads Please items FAQ | items FAQ in RE Heads Please","informational","606","300-800 words"
"/items/limited-items","L3 Article","RE:Heads, Please! limited items","RE Heads Please limited items | limited items in RE Heads Please","informational","604","300-800 words"
