"URL","Page Type","Primary Keyword","Secondary Keywords","Intent","Duplicate Risk"
"/accessories/accessory-values","L3 Article","RE:Heads, Please! accessory values","RE Heads Please accessory values | accessory values in RE Heads Please","informational","Low"
"/accessories/beginner-accessories","L3 Article","RE:Heads, Please! accessories for beginners","RE Heads Please accessories for beginners | accessories for beginners in RE Heads Please","informational","Low"
"/accessories/best-accessories","L3 Article","RE:Heads, Please! best accessories","RE Heads Please best accessories | best accessories in RE Heads Please","informational","Low"
"/accessories/black-rose","Accessory Detail","RE Heads Please Black Rose accessory","Black Rose accessory","entity lookup","Low"
"/accessories/common-accessories","L3 Article","RE:Heads, Please! common accessories","RE Heads Please common accessories | common accessories in RE Heads Please","informational","Low"
"/accessories/complete-accessories-list","L3 Article","RE:Heads, Please! complete accessories list","RE Heads Please complete accessories list | complete accessories list in RE Heads Please","informational","Low"
"/accessories/cosmetic-accessories","L3 Article","RE:Heads, Please! cosmetic accessories","RE Heads Please cosmetic accessories | cosmetic accessories in RE Heads Please","informational","Low"
"/accessories/deep-web","Accessory Detail","RE Heads Please Deep Web accessory","Deep Web accessory","entity lookup","Low"
"/accessories/duplicate-accessories","L3 Article","RE:Heads, Please! duplicate accessories","RE Heads Please duplicate accessories | duplicate accessories in RE Heads Please","informational","Low"
"/accessories/event-accessories","L3 Article","RE:Heads, Please! event accessories","RE Heads Please event accessories | event accessories in RE Heads Please","informational","Low"
"/accessories/hacker","Accessory Detail","RE Heads Please Hacker accessory","Hacker accessory","entity lookup","Low"
"/accessories/how-to-equip-accessories","L3 Article","RE:Heads, Please! how to equip accessories","RE Heads Please how to equip accessories | how to equip accessories in RE Heads Please","informational","Low"
"/accessories/how-to-farm-accessory-tickets","L3 Article","RE:Heads, Please! how to farm accessory tickets","RE Heads Please how to farm accessory tickets | how to farm accessory tickets in RE Heads Please","informational","Low"
"/accessories/how-to-get-accessories","L3 Article","RE:Heads, Please! how to get accessories","RE Heads Please how to get accessories | how to get accessories in RE Heads Please","informational","Low"
"/accessories/how-to-roll-accessories","L3 Article","RE:Heads, Please! how to roll accessories","RE Heads Please how to roll accessories | how to roll accessories in RE Heads Please","informational","Low"
"/accessories/how-to-spend-accessory-tickets","L3 Article","RE:Heads, Please! how to spend accessory tickets","RE Heads Please how to spend accessory tickets | how to spend accessory tickets in RE Heads Please","informational","Low"
"/accessories/limited-accessories","L3 Article","RE:Heads, Please! limited accessories","RE Heads Please limited accessories | limited accessories in RE Heads Please","informational","Low"
"/accessories/new-accessories","L3 Article","RE:Heads, Please! new accessories","RE Heads Please new accessories | new accessories in RE Heads Please","informational","Low"
"/accessories/rare-accessories","L3 Article","RE:Heads, Please! rare accessories","RE Heads Please rare accessories | rare accessories in RE Heads Please","informational","Low"
"/accessories/seraphim","Accessory Detail","RE Heads Please Seraphim accessory","Seraphim accessory","entity lookup","Low"
"/accessories/sleepingbeauty","Accessory Detail","RE Heads Please Sleepingbeauty accessory","Sleepingbeauty accessory","entity lookup","Low"
"/accessories/void","Accessory Detail","RE Heads Please Void accessory","Void accessory","entity lookup","Low"
"/codes","L2 Hub","RE:Heads, Please! codes","","navigational","Low"
"/codes/accessory-ticket-codes","L3 Article","RE:Heads, Please! codes for accessory tickets","RE Heads Please codes for accessory tickets | codes for accessory tickets in RE Heads Please","informational","Low"
"/codes/already-redeemed-code","L3 Article","RE:Heads, Please! already redeemed code","RE Heads Please already redeemed code | already redeemed code in RE Heads Please","informational","Low"
"/codes/beginner-code-rewards","L3 Article","RE:Heads, Please! codes for beginners","RE Heads Please codes for beginners | codes for beginners in RE Heads Please","informational","Low"
"/codes/boost-item-codes","L3 Article","RE:Heads, Please! codes for boost items","RE Heads Please codes for boost items | codes for boost items in RE Heads Please","informational","Low"
"/codes/case-sensitive-codes","L3 Article","RE:Heads, Please! case-sensitive codes","RE Heads Please case-sensitive codes | case-sensitive codes in RE Heads Please","informational","Low"
"/codes/code-expiration","L3 Article","RE:Heads, Please! code expiration","RE Heads Please code expiration | code expiration in RE Heads Please","informational","Low"
"/codes/code-history","L3 Article","RE:Heads, Please! code history","RE Heads Please code history | code history in RE Heads Please","informational","Low"
"/codes/code-release-guide","L3 Article","RE:Heads, Please! code release guide","RE Heads Please code release guide | code release guide in RE Heads Please","informational","Low"
"/codes/code-rewards","L3 Article","RE:Heads, Please! code rewards","RE Heads Please code rewards | code rewards in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/codes/code-status","L3 Article","RE:Heads, Please! code status","RE Heads Please code status | code status in RE Heads Please","informational","Low"
"/codes/code-troubleshooting","L3 Article","RE:Heads, Please! code troubleshooting","RE Heads Please code troubleshooting | code troubleshooting in RE Heads Please","informational","Low"
"/codes/code-verification","L3 Article","RE:Heads, Please! code verification","RE Heads Please code verification | code verification in RE Heads Please","informational","Low"
"/codes/codes-after-update","L3 Article","RE:Heads, Please! codes after an update","RE Heads Please codes after an update | codes after an update in RE Heads Please","informational","Low"
"/codes/codes-faq","L3 Article","RE:Heads, Please! codes FAQ","RE Heads Please codes FAQ | codes FAQ in RE Heads Please","informational","Low"
"/codes/codes-not-working","L3 Article","RE:Heads, Please! codes not working","RE Heads Please codes not working | codes not working in RE Heads Please","informational","Low"
"/codes/codes-with-free-items","L3 Article","RE:Heads, Please! codes with free items","RE Heads Please codes with free items | codes with free items in RE Heads Please","informational","Low"
"/codes/enchant-book-codes","L3 Article","RE:Heads, Please! codes for enchant books","RE Heads Please codes for enchant books | codes for enchant books in RE Heads Please","informational","Low"
"/codes/event-codes","L3 Article","RE:Heads, Please! event codes","RE Heads Please event codes | event codes in RE Heads Please","informational","Low"
"/codes/expired-codes","L3 Article","RE:Heads, Please! expired codes","RE Heads Please expired codes | expired codes in RE Heads Please","informational","Low"
"/codes/how-to-redeem-codes","L3 Article","RE:Heads, Please! how to redeem codes","RE Heads Please how to redeem codes | how to redeem codes in RE Heads Please","informational","Low"
"/codes/invalid-code-error","L3 Article","RE:Heads, Please! invalid code error","RE Heads Please invalid code error | invalid code error in RE Heads Please","informational","Low"
"/codes/mobile-code-redemption","L3 Article","RE:Heads, Please! code redemption on mobile","RE Heads Please code redemption on mobile | code redemption on mobile in RE Heads Please","informational","Low"
"/codes/new-codes","L3 Article","RE:Heads, Please! new codes","RE Heads Please new codes | new codes in RE Heads Please","informational","Low"
"/codes/pc-code-redemption","L3 Article","RE:Heads, Please! code redemption on PC","RE Heads Please code redemption on PC | code redemption on PC in RE Heads Please","informational","Low"
"/codes/update-codes","L3 Article","RE:Heads, Please! update codes","RE Heads Please update codes | update codes in RE Heads Please","informational","Low"
"/codes/where-to-enter-codes","L3 Article","RE:Heads, Please! where to enter codes","RE Heads Please where to enter codes | where to enter codes in RE Heads Please","informational","Low"
"/codes/working-codes","L3 Article","RE:Heads, Please! working codes","RE Heads Please working codes | working codes in RE Heads Please","informational","Low"
"/codes/xbox-code-redemption","L3 Article","RE:Heads, Please! code redemption on Xbox","RE Heads Please code redemption on Xbox | code redemption on Xbox in RE Heads Please","informational","Low"
"/coins","L2 Hub","RE:Heads, Please! coins","","navigational","Review - semantically adjacent primary keyword"
"/coins/calendar-coin","Coin Detail","RE Heads Please Calendar Coin","Calendar Coin","entity lookup","Low"
"/coins/clover-coin","Coin Detail","RE Heads Please Clover Coin","Clover Coin","entity lookup","Low"
"/coins/coin-comparison","L3 Article","RE:Heads, Please! coin comparison","RE Heads Please coin comparison | coin comparison in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/coins/coin-enchantments","L3 Article","RE:Heads, Please! coin enchantments","RE Heads Please coin enchantments | coin enchantments in RE Heads Please","informational","Low"
"/coins/coin-farming","L3 Article","RE:Heads, Please! coin farming","RE Heads Please coin farming | coin farming in RE Heads Please","informational","Low"
"/coins/coin-flip-guide","L3 Article","RE:Heads, Please! coin flip guide","RE Heads Please coin flip guide | coin flip guide in RE Heads Please","informational","Low"
"/coins/coin-fountain","L3 Article","RE:Heads, Please! coin fountain","RE Heads Please coin fountain | coin fountain in RE Heads Please","informational","Low"
"/coins/coin-inventory","L3 Article","RE:Heads, Please! coin inventory","RE Heads Please coin inventory | coin inventory in RE Heads Please","informational","Low"
"/coins/coin-luck","L3 Article","RE:Heads, Please! coin roll luck","RE Heads Please coin roll luck | coin roll luck in RE Heads Please","informational","Low"
"/coins/coin-price","L3 Article","RE:Heads, Please! coin price","RE Heads Please coin price | coin price in RE Heads Please","informational","Low"
"/coins/coin-profit","L3 Article","RE:Heads, Please! coin profit","RE Heads Please coin profit | coin profit in RE Heads Please","informational","Low"
"/coins/coin-rarity","L3 Article","RE:Heads, Please! coin rarity","RE Heads Please coin rarity | coin rarity in RE Heads Please","informational","Low"
"/coins/coin-updates","L3 Article","RE:Heads, Please! coin updates","RE Heads Please coin updates | coin updates in RE Heads Please","informational","Low"
"/coins/coin-values","L3 Article","RE:Heads, Please! coin values","RE Heads Please coin values | coin values in RE Heads Please","informational","Low"
"/coins/coins-faq","L3 Article","RE:Heads, Please! coins FAQ","RE Heads Please coins FAQ | coins FAQ in RE Heads Please","informational","Low"
"/coins/complete-coin-list","L3 Article","RE:Heads, Please! complete coin list","RE Heads Please complete coin list | complete coin list in RE Heads Please","informational","Low"
"/coins/dalgona-coin","Coin Detail","RE Heads Please Dalgona Coin","Dalgona Coin","entity lookup","Low"
"/coins/early-game-coins","L3 Article","RE:Heads, Please! early game coins","RE Heads Please early game coins | early game coins in RE Heads Please","informational","Low"
"/coins/event-coins","L3 Article","RE:Heads, Please! event coins","RE Heads Please event coins | event coins in RE Heads Please","informational","Low"
"/coins/friendship-coin","Coin Detail","RE Heads Please Friendship Coin","Friendship Coin","entity lookup","Low"
"/coins/graph-coin","Coin Detail","RE Heads Please Graph Coin","Graph Coin","entity lookup","Low"
"/coins/how-to-enchant-coins","L3 Article","RE:Heads, Please! how to enchant coins","RE Heads Please how to enchant coins | how to enchant coins in RE Heads Please","informational","Low"
"/coins/how-to-equip-coins","L3 Article","RE:Heads, Please! how to equip coins","RE Heads Please how to equip coins | how to equip coins in RE Heads Please","informational","Low"
"/coins/how-to-get-coins","L3 Article","RE:Heads, Please! how to get coins","RE Heads Please how to get coins | how to get coins in RE Heads Please","informational","Low"
"/coins/how-to-roll-coins","L3 Article","RE:Heads, Please! how to roll coins","RE Heads Please how to roll coins | how to roll coins in RE Heads Please","informational","Low"
"/coins/how-to-switch-coins","L3 Article","RE:Heads, Please! how to switch coins","RE Heads Please how to switch coins | how to switch coins in RE Heads Please","informational","Low"
"/coins/late-game-coins","L3 Article","RE:Heads, Please! late game coins","RE Heads Please late game coins | late game coins in RE Heads Please","informational","Low"
"/coins/limited-coins","L3 Article","RE:Heads, Please! limited coins","RE Heads Please limited coins | limited coins in RE Heads Please","informational","Low"
"/coins/lock-coin","Coin Detail","RE Heads Please Lock Coin","Lock Coin","entity lookup","Low"
"/coins/mid-game-coins","L3 Article","RE:Heads, Please! mid game coins","RE Heads Please mid game coins | mid game coins in RE Heads Please","informational","Low"
"/coins/new-coins","L3 Article","RE:Heads, Please! new coins","RE Heads Please new coins | new coins in RE Heads Please","informational","Low"
"/coins/plush-toy-coin","Coin Detail","RE Heads Please Plush Toy Coin","Plush Toy Coin","entity lookup","Low"
"/coins/rare-coins","L3 Article","RE:Heads, Please! rare coins","RE Heads Please rare coins | rare coins in RE Heads Please","informational","Low"
"/coins/rhythm-coin","Coin Detail","RE Heads Please Rhythm Coin","Rhythm Coin","entity lookup","Low"
"/coins/secret-coins","L3 Article","RE:Heads, Please! secret coins","RE Heads Please secret coins | secret coins in RE Heads Please","informational","Low"
"/coins/slime-coin","Coin Detail","RE Heads Please Slime Coin","Slime Coin","entity lookup","Low"
"/coins/starter-coin-guide","L3 Article","RE:Heads, Please! starter coin guide","RE Heads Please starter coin guide | starter coin guide in RE Heads Please","informational","Low"
"/coins/zone-coin","Coin Detail","RE Heads Please Zone Coin","Zone Coin","entity lookup","Low"
"/database","L2 Hub","RE:Heads, Please! database","","navigational","Low"
"/database/accessories","Database Category","RE:Heads, Please! accessories database","","navigational","Review - semantically adjacent primary keyword"
"/database/accessory-comparison","L3 Article","RE:Heads, Please! accessory comparison database","RE Heads Please accessory comparison database | accessory comparison database in RE Heads Please","informational","Low"
"/database/accessory-database","L3 Article","RE:Heads, Please! accessory database","RE Heads Please accessory database | accessory database in RE Heads Please","informational","Low"
"/database/acquisition-index","L3 Article","RE:Heads, Please! acquisition method index","RE Heads Please acquisition method index | acquisition method index in RE Heads Please","informational","Low"
"/database/beginner-lookup","L3 Article","RE:Heads, Please! beginner database lookup","RE Heads Please beginner database lookup | beginner database lookup in RE Heads Please","informational","Low"
"/database/code-rewards","L3 Article","RE:Heads, Please! code rewards database","RE Heads Please code rewards database | code rewards database in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/database/coin-comparison","L3 Article","RE:Heads, Please! coin comparison database","RE Heads Please coin comparison database | coin comparison database in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/database/coin-database","L3 Article","RE:Heads, Please! coin database","RE Heads Please coin database | coin database in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/database/coins","Database Category","RE:Heads, Please! coins database","","navigational","Review - semantically adjacent primary keyword"
"/database/content-index","L3 Article","RE:Heads, Please! game content index","RE Heads Please game content index | game content index in RE Heads Please","informational","Low"
"/database/data-accuracy","L3 Article","RE:Heads, Please! database accuracy policy","RE Heads Please database accuracy policy | database accuracy policy in RE Heads Please","informational","Low"
"/database/database-changelog","L3 Article","RE:Heads, Please! database changelog","RE Heads Please database changelog | database changelog in RE Heads Please","informational","Low"
"/database/database-faq","L3 Article","RE:Heads, Please! database FAQ","RE Heads Please database FAQ | database FAQ in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/database/event-content","L3 Article","RE:Heads, Please! event content database","RE Heads Please event content database | event content database in RE Heads Please","informational","Low"
"/database/farming-lookup","L3 Article","RE:Heads, Please! farming database lookup","RE Heads Please farming database lookup | farming database lookup in RE Heads Please","informational","Low"
"/database/glossary","L3 Article","RE:Heads, Please! game glossary","RE Heads Please game glossary | game glossary in RE Heads Please","informational","Low"
"/database/item-comparison","L3 Article","RE:Heads, Please! item comparison database","RE Heads Please item comparison database | item comparison database in RE Heads Please","informational","Low"
"/database/item-database","L3 Article","RE:Heads, Please! item database","RE Heads Please item database | item database in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/database/items","Database Category","RE:Heads, Please! items database","","navigational","Review - semantically adjacent primary keyword"
"/database/limited-content","L3 Article","RE:Heads, Please! limited content database","RE Heads Please limited content database | limited content database in RE Heads Please","informational","Low"
"/database/location-index","L3 Article","RE:Heads, Please! location index","RE Heads Please location index | location index in RE Heads Please","informational","Low"
"/database/mechanics-index","L3 Article","RE:Heads, Please! game mechanics index","RE Heads Please game mechanics index | game mechanics index in RE Heads Please","informational","Low"
"/database/new-entries","L3 Article","RE:Heads, Please! new database entries","RE Heads Please new database entries | new database entries in RE Heads Please","informational","Low"
"/database/rarity-index","L3 Article","RE:Heads, Please! rarity index","RE Heads Please rarity index | rarity index in RE Heads Please","informational","Low"
"/database/recently-updated","L3 Article","RE:Heads, Please! recently updated database entries","RE Heads Please recently updated database entries | recently updated database entries in RE Heads Please","informational","Low"
"/database/rewards-index","L3 Article","RE:Heads, Please! rewards index","RE Heads Please rewards index | rewards index in RE Heads Please","informational","Low"
"/database/source-index","L3 Article","RE:Heads, Please! acquisition source index","RE Heads Please acquisition source index | acquisition source index in RE Heads Please","informational","Low"
"/database/tier-index","L3 Article","RE:Heads, Please! tier ranking index","RE Heads Please tier ranking index | tier ranking index in RE Heads Please","informational","Low"
"/database/update-history","L3 Article","RE:Heads, Please! database update history","RE Heads Please database update history | database update history in RE Heads Please","informational","Low"
"/database/value-list","L3 Article","RE:Heads, Please! value list","RE Heads Please value list | value list in RE Heads Please","informational","Low"
"/database/verification-log","L3 Article","RE:Heads, Please! data verification log","RE Heads Please data verification log | data verification log in RE Heads Please","informational","Low"
"/faq","Utility Page","RE:Heads, Please! FAQ","","informational","Review - semantically adjacent primary keyword"
"/guides","L2 Hub","RE:Heads, Please! guides","","navigational","Low"
"/guides/accessory-rolling-guide","L3 Article","RE:Heads, Please! accessory rolling guide","RE Heads Please accessory rolling guide | accessory rolling guide in RE Heads Please","informational","Low"
"/guides/another-station","L3 Article","RE:Heads, Please! Another Station guide","RE Heads Please Another Station guide | Another Station guide in RE Heads Please","informational","Low"
"/guides/beginner-guide","L3 Article","RE:Heads, Please! beginner guide","RE Heads Please beginner guide | beginner guide in RE Heads Please","informational","Low"
"/guides/beginner-mistakes","L3 Article","RE:Heads, Please! beginner mistakes","RE Heads Please beginner mistakes | beginner mistakes in RE Heads Please","informational","Low"
"/guides/boosts-guide","L3 Article","RE:Heads, Please! boosts guide","RE Heads Please boosts guide | boosts guide in RE Heads Please","informational","Low"
"/guides/controls","L3 Article","RE:Heads, Please! controls guide","RE Heads Please controls guide | controls guide in RE Heads Please","informational","Low"
"/guides/enchantment-guide","L3 Article","RE:Heads, Please! enchantment guide","RE Heads Please enchantment guide | enchantment guide in RE Heads Please","informational","Low"
"/guides/event-preparation","L3 Article","RE:Heads, Please! event preparation guide","RE Heads Please event preparation guide | event preparation guide in RE Heads Please","informational","Low"
"/guides/farming-guide","L3 Article","RE:Heads, Please! farming guide","RE Heads Please farming guide | farming guide in RE Heads Please","informational","Low"
"/guides/fountain-guide","L3 Article","RE:Heads, Please! fountain guide","RE Heads Please fountain guide | fountain guide in RE Heads Please","informational","Low"
"/guides/game-mechanics","Static Page","Game Mechanics","","informational","Low"
"/guides/getting-started","L3 Article","RE:Heads, Please! getting started guide","RE Heads Please getting started guide | getting started guide in RE Heads Please","informational","Low"
"/guides/how-to-earn-money","L3 Article","RE:Heads, Please! how to earn money","RE Heads Please how to earn money | how to earn money in RE Heads Please","informational","Low"
"/guides/how-to-flip-coins","L3 Article","RE:Heads, Please! how to flip coins","RE Heads Please how to flip coins | how to flip coins in RE Heads Please","informational","Low"
"/guides/how-to-get-accessories","L3 Article","RE:Heads, Please! guide to getting accessories","RE Heads Please guide to getting accessories | guide to getting accessories in RE Heads Please","informational","Low"
"/guides/how-to-roll-better-coins","L3 Article","RE:Heads, Please! how to roll better coins","RE Heads Please how to roll better coins | how to roll better coins in RE Heads Please","informational","Low"
"/guides/inventory-guide","L3 Article","RE:Heads, Please! inventory guide","RE Heads Please inventory guide | inventory guide in RE Heads Please","informational","Low"
"/guides/map-exploration","L3 Article","RE:Heads, Please! map exploration guide","RE Heads Please map exploration guide | map exploration guide in RE Heads Please","informational","Low"
"/guides/mobile-controls","L3 Article","RE:Heads, Please! mobile controls","RE Heads Please mobile controls | mobile controls in RE Heads Please","informational","Low"
"/guides/pc-controls","L3 Article","RE:Heads, Please! PC controls","RE Heads Please PC controls | PC controls in RE Heads Please","informational","Low"
"/guides/progression-guide","L3 Article","RE:Heads, Please! progression guide","RE Heads Please progression guide | progression guide in RE Heads Please","informational","Low"
"/guides/scroll-guide","L3 Article","RE:Heads, Please! scroll guide","RE Heads Please scroll guide | scroll guide in RE Heads Please","informational","Low"
"/guides/skateboard-controls","L3 Article","RE:Heads, Please! skateboard controls","RE Heads Please skateboard controls | skateboard controls in RE Heads Please","informational","Low"
"/guides/skateboard-guide","L3 Article","RE:Heads, Please! skateboard guide","RE Heads Please skateboard guide | skateboard guide in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/guides/station-travel","L3 Article","RE:Heads, Please! station travel guide","RE Heads Please station travel guide | station travel guide in RE Heads Please","informational","Low"
"/guides/ticket-guide","L3 Article","RE:Heads, Please! ticket guide","RE Heads Please ticket guide | ticket guide in RE Heads Please","informational","Low"
"/guides/tips-and-tricks","L3 Article","RE:Heads, Please! tips and tricks","RE Heads Please tips and tricks | tips and tricks in RE Heads Please","informational","Low"
"/guides/update-preparation","L3 Article","RE:Heads, Please! update preparation guide","RE Heads Please update preparation guide | update preparation guide in RE Heads Please","informational","Low"
"/guides/xbox-controls","L3 Article","RE:Heads, Please! Xbox controls","RE Heads Please Xbox controls | Xbox controls in RE Heads Please","informational","Low"
"/items","L2 Hub","RE:Heads, Please! items","","navigational","Review - semantically adjacent primary keyword"
"/items/accessory-ticket","Item Detail","RE Heads Please Accessory Ticket","Accessory Ticket","entity lookup","Review - semantically adjacent primary keyword"
"/items/accessory-tickets","L3 Article","RE:Heads, Please! accessory tickets","RE Heads Please accessory tickets | accessory tickets in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/items/best-beginner-items","L3 Article","RE:Heads, Please! best beginner items","RE Heads Please best beginner items | best beginner items in RE Heads Please","informational","Low"
"/items/boardmarker-1","Item Detail","RE Heads Please Boardmarker 1","Boardmarker 1 location","entity lookup","Low"
"/items/boardmarker-2","Item Detail","RE Heads Please Boardmarker 2","Boardmarker 2 location","entity lookup","Low"
"/items/boardmarker-3","Item Detail","RE Heads Please Boardmarker 3","Boardmarker 3 location","entity lookup","Low"
"/items/boardmarker-4","Item Detail","RE Heads Please Boardmarker 4","Boardmarker 4 location","entity lookup","Low"
"/items/boardmarker-5","Item Detail","RE Heads Please Boardmarker 5","Boardmarker 5 location","entity lookup","Low"
"/items/boost-items","L3 Article","RE:Heads, Please! boost items","RE Heads Please boost items | boost items in RE Heads Please","informational","Low"
"/items/code-reward-items","L3 Article","RE:Heads, Please! code reward items","RE Heads Please code reward items | code reward items in RE Heads Please","informational","Low"
"/items/complete-item-list","L3 Article","RE:Heads, Please! complete item list","RE Heads Please complete item list | complete item list in RE Heads Please","informational","Low"
"/items/consumable-items","L3 Article","RE:Heads, Please! consumable items","RE Heads Please consumable items | consumable items in RE Heads Please","informational","Low"
"/items/enchant-book","Item Detail","RE Heads Please Enchant Book","Enchant Book","entity lookup","Review - semantically adjacent primary keyword"
"/items/enchant-books","L3 Article","RE:Heads, Please! enchant books","RE Heads Please enchant books | enchant books in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/items/energy-boost-items","L3 Article","RE:Heads, Please! energy boost items","RE Heads Please energy boost items | energy boost items in RE Heads Please","informational","Low"
"/items/engraving-scroll","Item Detail","RE Heads Please Engraving Scroll","Engraving Scroll","entity lookup","Review - semantically adjacent primary keyword"
"/items/engraving-scrolls","L3 Article","RE:Heads, Please! engraving scrolls","RE Heads Please engraving scrolls | engraving scrolls in RE Heads Please","informational","Review - semantically adjacent primary keyword"
"/items/event-items","L3 Article","RE:Heads, Please! event items","RE Heads Please event items | event items in RE Heads Please","informational","Low"
"/items/how-to-get-items","L3 Article","RE:Heads, Please! how to get items","RE Heads Please how to get items | how to get items in RE Heads Please","informational","Low"
"/items/how-to-use-items","L3 Article","RE:Heads, Please! how to use items","RE Heads Please how to use items | how to use items in RE Heads Please","informational","Low"
"/items/inventory-guide","L3 Article","RE:Heads, Please! item inventory guide","RE Heads Please item inventory guide | item inventory guide in RE Heads Please","informational","Low"
"/items/item-drops","L3 Article","RE:Heads, Please! item drops","RE Heads Please item drops | item drops in RE Heads Please","informational","Low"
"/items/item-farming","L3 Article","RE:Heads, Please! item farming","RE Heads Please item farming | item farming in RE Heads Please","informational","Low"
"/items/item-locations","L3 Article","RE:Heads, Please! item locations","RE Heads Please item locations | item locations in RE Heads Please","informational","Low"
"/items/item-progression-guide","L3 Article","RE:Heads, Please! item progression guide","RE Heads Please item progression guide | item progression guide in RE Heads Please","informational","Low"
"/items/item-rarity","L3 Article","RE:Heads, Please! item rarity","RE Heads Please item rarity | item rarity in RE Heads Please","informational","Low"
"/items/item-rewards","L3 Article","RE:Heads, Please! item rewards","RE Heads Please item rewards | item rewards in RE Heads Please","informational","Low"
"/items/item-tiers-explained","L3 Article","RE:Heads, Please! item tiers explained","RE Heads Please item tiers explained | item tiers explained in RE Heads Please","informational","Low"
"/items/item-uses","L3 Article","RE:Heads, Please! item uses","RE Heads Please item uses | item uses in RE Heads Please","informational","Low"
"/items/item-values","L3 Article","RE:Heads, Please! item values","RE Heads Please item values | item values in RE Heads Please","informational","Low"
"/items/items-faq","L3 Article","RE:Heads, Please! items FAQ","RE Heads Please items FAQ | items FAQ in RE Heads Please","informational","Low"
"/items/limited-items","L3 Article","RE:Heads, Please! limited items","RE Heads Please limited items | limited items in RE Heads Please","informational","Low"
"/items/luck-boost-items","L3 Article","RE:Heads, Please! luck boost items","RE Heads Please luck boost items | luck boost items in RE Heads Please","informational","Low"
"/items/money-boost-items","L3 Article","RE:Heads, Please! money boost items","RE Heads Please money boost items | money boost items in RE Heads Please","informational","Low"
"/items/new-items","L3 Article","RE:Heads, Please! new items","RE Heads Please new items | new items in RE Heads Please","informational","Low"
"/items/rare-items","L3 Article","RE:Heads, Please! rare items","RE Heads Please rare items | rare items in RE Heads Please","informational","Low"
"/items/skateboard","Item Detail","RE Heads Please Skateboard","RE Heads Please traversal","entity lookup","Review - semantically adjacent primary keyword"
"/items/spray-1","Item Detail","RE Heads Please Spray 1","Spray 1 location","entity lookup","Low"
"/items/spray-2","Item Detail","RE Heads Please Spray 2","Spray 2 location","entity lookup","Low"
"/items/spray-3","Item Detail","RE Heads Please Spray 3","Spray 3 location","entity lookup","Low"
"/items/spray-4","Item Detail","RE Heads Please Spray 4","Spray 4 location","entity lookup","Low"
"/items/spray-5","Item Detail","RE Heads Please Spray 5","Spray 5 location","entity lookup","Low"
"/items/vip-skateboard","Item Detail","RE Heads Please VIP Skateboard","VIP Skateboard","entity lookup","Low"
"/tier-list","L2 Hub","RE:Heads, Please! tier list","","navigational","Low"
"/tier-list/a-tier-coins","L3 Article","RE:Heads, Please! A tier coins","RE Heads Please A tier coins | A tier coins in RE Heads Please","informational","Low"
